trade_date,close_to_close,parkinson,garman_klass,rogers_satchell,yang_zhang
2005-01-07,0.306969072815042,0.5090568338837477,0.44081176364673214,0.40905131768730263,0.4493507490025713
2005-01-14,0.09289223589728489,0.30292181834090354,0.32155272543042224,0.3270167836727168,0.3258730756474353
2005-01-21,0.1346732588115511,0.21887358299196488,0.24056332623733617,0.2766173632496728,0.2947531104693363
2005-01-28,0.14531602038778707,0.2640981457803626,0.27134471238367347,0.27444367007661485,0.3043272693390734
2005-02-04,0.09211919532638956,0.3239026365777359,0.3028300114019812,0.2825197914809567,0.30410975772463966
2005-02-11,0.20766472288563131,0.3832759842677745,0.38268611627227894,0.3696810314963437,0.4072375322299383
2005-02-18,0.26821995388772313,0.43436729525299533,0.3727852787480337,0.33512812195981967,0.36531753905956516
2005-02-25,0.2212032009812786,0.43324449935793624,0.38375933661429823,0.3479185470893097,0.3710995942362468
2005-03-04,0.2534967792304932,0.6551063319520064,0.6944224818510362,0.7413626368085307,0.7264897668625486
2005-03-11,0.22955117072853198,0.6127832002597039,0.5882654017486602,0.5618744159952058,0.583064910067339
2005-03-18,0.1833209457952285,0.4765497052598174,0.5227387834611131,0.5710394684982109,0.5627499923887663
2005-03-24,0.12127182574596398,0.4533429453803042,0.5126441288885392,0.5453416557962385,0.5478315541536537
2005-04-01,0.26362015236664993,0.5244615863777349,0.569519224443964,0.6138067584671888,0.6263999260641491
2005-04-08,0.20664473574877568,0.5482589617610949,0.5924406157523037,0.594377176867385,0.6080840676750618
2005-04-15,0.2900550595584831,0.5805201665188041,0.5566277384675782,0.5486223725460058,0.5664969219234307
2005-04-22,0.3396542301193919,0.5995116845401963,0.533566188408754,0.4802668480481079,0.5271463635997357
2005-04-29,0.3026096606584463,0.4369769003709809,0.40333171215429425,0.3795036343298938,0.4295837827363076
2005-05-06,0.26296692317125636,0.5545162375734146,0.5700734986233318,0.6149593465608492,0.6182624678477909
2005-05-13,0.3555809165616461,0.5621535359636286,0.4523861478546617,0.37985732487350243,0.4727697016780493
2005-05-20,0.19907895647955537,0.4448540429539117,0.4684724674004436,0.5056303583899122,0.5158568191134784
2005-05-27,0.10100574466446448,0.34480420726131994,0.34826972379035603,0.33299766366666955,0.3188179758726172
2005-06-03,0.18233949413229394,0.305815336930776,0.3200010721243462,0.32092386460774974,0.32671081846115574
2005-06-10,0.2290927040502344,0.43064077782695753,0.42482095570049544,0.4430759446477093,0.44558224436091487
2005-06-17,0.07195295473141165,0.29908750054005095,0.27198069160488714,0.2730253844324114,0.3272643660637906
2005-06-24,0.1672580407827171,0.38371098696418576,0.4319472563746226,0.49009533164459246,0.5160152172108661
2005-07-01,0.2626011999179586,0.3837441418528972,0.3602157769035612,0.3504799626369966,0.36913334017823984
2005-07-08,0.33608075776141744,0.5107729308099996,0.40001611672203574,0.3229404243030439,0.47809573816025064
2005-07-15,0.21019045243821757,0.47907214068678744,0.4596585711675289,0.4281765706986147,0.4521659578781329
2005-07-22,0.3036957186334224,0.43113060170608636,0.4069816027910691,0.39318521983743304,0.42774779227125675
2005-07-29,0.12017720613246789,0.3610836434288645,0.358340873107125,0.3798413316872224,0.3925526852248689
2005-08-05,0.16210483697173592,0.32696496163521366,0.3247396918538157,0.33141296215495614,0.3493032613202323
2005-08-12,0.14022232492993386,0.30485069284312233,0.32214067389716516,0.33635839772270665,0.32824668776032684
2005-08-19,0.26188876853220505,0.49070115670661396,0.478375970282435,0.4532717072251275,0.47735836982411245
2005-08-26,0.12123511341898106,0.37969409009260485,0.43529906270839386,0.45041801205592835,0.4503905763280277
2005-09-02,0.3061666106115823,0.47487881543894583,0.42397571892477204,0.3894720762721341,0.4752684572654693
2005-09-09,0.18508036824500074,0.3405752611911399,0.32921269929799735,0.34454491992635233,0.34503150248607234
2005-09-16,0.20642517056644266,0.3710294518089739,0.37344280000406965,0.38497734568472,0.39484550668329427
2005-09-23,0.2908514910441158,0.5332088996315333,0.5572077290504299,0.5849122146865919,0.6649032407158403
2005-09-30,0.20189307138254392,0.3899243580701118,0.3557108288963893,0.36764482042307073,0.4156326233439868
2005-10-07,0.40661736233094664,0.682744576170533,0.6221643640261537,0.5658085456353458,0.7237163369443836
2005-10-14,0.3555314232735215,0.6869297852267097,0.7111775105423689,0.7134603084588433,0.7700502781644388
2005-10-21,0.5354639797070839,0.8893931278865846,0.8764465031736356,0.8713655734959744,0.8929611560756451
2005-10-28,0.41957116844812303,0.8207828567713469,0.762010459343606,0.7475085325482762,0.7697864339018263
2005-11-04,0.32459490343179226,0.5103243974455135,0.4817110129488523,0.4464376237761791,0.49210658396949325
2005-11-11,0.26909196053458584,0.5846990873521491,0.6059072910501492,0.5994207591547116,0.5944049499286651
2005-11-18,0.1752606059415406,0.48754009089231215,0.49264018595885206,0.5505400557173361,0.5640181257532487
