trade_date,close_to_close,parkinson,garman_klass,rogers_satchell,yang_zhang
2005-01-07,0.1344298695320573,0.32038438929020674,0.29953307569428794,0.2901107352580525,0.30641864174999744
2005-01-14,0.06654559137242043,0.24333088344718437,0.2715139232547749,0.2886143053321528,0.3022858412040356
2005-01-21,0.09997837415980058,0.21754145939365524,0.21602694641672818,0.236419474209754,0.26755338760161745
2005-01-28,0.12185769108634847,0.27593911184586123,0.2801466720986524,0.28466422941475905,0.3016899476188481
2005-02-04,0.05850846815722536,0.21562325934579477,0.23272349111589333,0.25735272375442136,0.2574985926354082
2005-02-11,0.06823829506373058,0.21005331422626966,0.21888075899138437,0.21867944866121844,0.23079672734276868
2005-02-18,0.11358716490667847,0.24719675987688244,0.2528641313207122,0.2692596739587599,0.2887208021578527
2005-02-25,0.29203694560303806,0.36154685630785877,0.30370498773520516,0.26452512663268707,0.2969779590672616
2005-03-04,0.1327128279456432,0.2745315836314509,0.2921644222406146,0.2994978470256002,0.2963637191642288
2005-03-11,0.16409059355632274,0.32150631414150777,0.27788478096721514,0.2501296053433188,0.27204474924985267
2005-03-18,0.17424440840673305,0.3109501552153767,0.304931759234538,0.30606922928839847,0.30988885024115553
2005-03-24,0.2027794429560929,0.31767655077781815,0.29315410725076746,0.29243138197626906,0.29838395780266486
2005-04-01,0.1700118857549401,0.3314418825353203,0.3256459807422364,0.3289405359804125,0.3349531820559944
2005-04-08,0.10800610541572414,0.2460278591645758,0.23685869084066652,0.2464234342216916,0.2552845800597803
2005-04-15,0.1927015484748753,0.35559796757913614,0.3722964725207938,0.3895248382137057,0.3948153360941395
2005-04-22,0.13552133808480832,0.32106639525827807,0.30969110392216337,0.3026522662084823,0.3265867296871373
2005-04-29,0.16960501891414048,0.3168334747412152,0.2874102293262775,0.2774917184737258,0.30827609367398723
2005-05-06,0.05182021959174236,0.28008109743368775,0.2887827808185815,0.31412577894590965,0.3253514888312838
2005-05-13,0.16680429869122487,0.4739280232745511,0.5103457071905414,0.5095417576581054,0.49852786415142
2005-05-20,0.07778475551452149,0.25819262006484145,0.2569666672503136,0.2634967233920884,0.3532648727822228
2005-05-27,0.04865086675373171,0.16103062301135349,0.17256369678410063,0.17716606297327314,0.1850570820325712
2005-06-03,0.10361966503328301,0.21425740444492755,0.2292443959516989,0.22925286172554907,0.2245481914982395
2005-06-10,0.027095663881693866,0.199728243536158,0.22882057066713812,0.2791487936376214,0.2670041819957745
2005-06-17,0.06483885284055177,0.24192344844742422,0.26764145591591704,0.280282359847523,0.27953446096255397
2005-06-24,0.09102476451624723,0.35837145165194345,0.35325496593647493,0.3680658307625724,0.5514642233111049
2005-07-01,0.08700847237038553,0.2125937719293574,0.22161183542860288,0.23390363569476907,0.22905745596366328
2005-07-08,0.20183995003939711,0.322361057387415,0.2911860002377887,0.2666557785946304,0.3000057636394334
