trade_date,h.1,h.2,h.3,h.4,h.5
2004-12-30,1.459454054664277,1.468001357648426,1.476469051093587,1.4848578764826232,1.4931685683922316
2004-12-31,1.3916054263470259,1.4009438576329079,1.410193869998298,1.4193563006186563,1.4284319787428263
2005-01-03,2.0771032476706925,2.0804078641797776,2.083681945740027,2.0869257744970686,2.0901396299894803
2005-01-04,1.9836543486631315,1.9876346440107038,1.991578556271832,1.9954864180170577,1.9993585587769616
2005-01-05,1.8931131497926024,1.8977628108074616,1.9023702068736952,1.9069357221754144,1.911459737404535
2005-01-06,1.946943323061618,1.951166568751084,1.9553513644889173,1.9594980603373426,1.9636070031714916
2005-01-07,1.884841244856467,1.8894768358222989,1.8940704239309392,1.8986223897681695,1.9031331104713034
2005-01-10,1.813838127919309,1.8189544430493547,1.82402451768184,1.8290487697315256,1.8340276133361209
2005-01-11,1.7236420755882877,1.7294062103000984,1.7351182673760073,1.7407787173255174,1.746388026407187
2005-01-12,1.799514436317281,1.8052722294744783,1.810976010955218,1.8166262874225767,1.822223560786816
2005-01-13,1.7272362720839884,1.7334478433668405,1.7396018726363862,1.7456988929434663,1.751739432400909
2005-01-14,1.6766237506892165,1.6831033344609154,1.689523494773122,1.6958847765910159,1.7021877198819697
2005-01-18,1.641005536216169,1.6479192969169478,1.654769005159051,1.6615552543557652,1.6682786324227066
2005-01-19,1.570068380079638,1.57762697361737,1.5851151829696775,1.5925336635407086,1.5998830646316125
2005-01-20,1.5550691422980092,1.562801970102382,1.5704624479468707,1.5780512527528845,1.585569055108414
2005-01-21,1.4812772684000832,1.4899567761574999,1.4985528662953578,1.507066340529543,1.5154979928707546
2005-01-24,1.445834875156146,1.4549264858579931,1.463929874161382,1.4728458961513171,1.4816753996055985
2005-01-25,1.3829458223456321,1.3922770729064835,1.4015199150137632,1.4106751862888178,1.4197437164169942
2005-01-26,1.3625189982784605,1.3718400952538214,1.3810740513693858,1.3902216812856456,1.399283792047013
2005-01-27,1.334959248864474,1.3443120945984899,1.3535786736166482,1.3627597816068575,1.3718562069179363
2005-01-28,1.3581915131904436,1.3671114427726392,1.3759503863536175,1.384709079223084,1.3933882499948869
2005-01-31,1.3612700270966362,1.3699122966767958,1.3784772981750153,1.386965722423307,1.3953782540771504
2005-02-01,1.438293147364936,1.4461712065651748,1.4539794135337911,1.461718387628185,1.4693887427141121
2005-02-02,1.4619197769434609,1.4697213810094036,1.477453258430517,1.4851160323869774,1.4927103204893042
2005-02-03,1.4014557994148027,1.4095290596043435,1.4175310963267038,1.425462537925596,1.4333240072013933
2005-02-04,1.3403222055243937,1.348655709867438,1.3569164945574206,1.3651051941590724,1.3732224376997986
2005-02-07,1.307030413337825,1.315507253925614,1.3239104233105583,1.3322405617602282,1.3404983039777056
2005-02-08,1.2693292302829542,1.2779374976193822,1.2864712091280783,1.2949310105338128,1.303317541968762
2005-02-09,1.2157274511536762,1.224909733522081,1.234012000415343,1.2430349490976063,1.251979270756975
2005-02-10,1.5277986099280392,1.5343301306233461,1.5408049063723457,1.5472234301672647,1.5535861907172814
2005-02-11,1.4945753725104642,1.501735176569918,1.508831584902058,1.5158651588376422,1.5228364547371853
2005-02-14,1.4247089621379536,1.4322988092236848,1.439821997500488,1.4472791124079327,1.4546707342438894
2005-02-15,1.360689852528154,1.3688804336375138,1.376998682571129,1.3850452381046343,1.3930207333725475
2005-02-16,1.6785462801039723,1.6840501002432466,1.6895053746304645,1.694912531457315,1.7002719951386767
2005-02-17,1.6980639797072634,1.7032816646751188,1.7084535316992802,1.7135799831198613,1.718661417743916
2005-02-18,1.8539191948988556,1.8580837028157988,1.862210935200882,1.8663012256986324,1.8703549049672037
2005-02-22,1.789920320324336,1.794414471823933,1.7988688883663941,1.8032839212676057,1.8076599187373015
2005-02-23,1.7727367044902091,1.777249380369474,1.7817223162775881,1.786155862176603,1.790550364946699
2005-02-24,1.8650975593736905,1.8687703675164868,1.872410656455386,1.8760187141168412,1.8795948258779922
2005-02-25,2.0627468045840254,2.0647749012334593,2.066784743018074,2.06877649424961,2.0707503177608393
2005-02-28,1.9906035988058446,1.993115400325285,1.9956044783430258,1.9980710384316516,2.000515284303994
2005-03-01,2.100722118705985,2.1022653635774535,2.1037944000768665,2.105309359018095,2.1068103700106313
2005-03-02,2.093966553926369,2.0954684289593253,2.096956224195942,2.098430071631665,2.0998901020245087
2005-03-03,2.1172337156568677,2.118452178878557,2.1196589506717065,2.1208541432182018,2.1220378676235176
2005-03-04,2.0856708320670214,2.0870858695747025,2.088487029328849,2.0898744474333038,2.0912482586570933
2005-03-07,2.0107309684791157,2.0127612035967077,2.014771126723492,2.016760941075818,2.018730847836908
2005-03-08,1.9114856417646906,1.9143936341582275,1.9172718972586753,1.9201207349976634,1.9229404481996364
2005-03-09,2.2364658612314634,2.236353653487354,2.236242599591863,2.236132687679798,2.2360239060079756
2005-03-10,2.344579373495355,2.343673552229823,2.3427766079584456,2.3418884536872113,2.3410090032746456
2005-03-11,2.2508682141957745,2.2507585641277084,2.250649994937164,2.2505424959693716,2.250436056674592
2005-03-14,2.1576933787544013,2.15836785536589,2.1590355619718964,2.1596965665258145,2.1603509362989604
2005-03-15,2.1598864121899966,2.160495518712165,2.1610983590460924,2.161694997655241,2.1622854983399042
2005-03-16,2.065024954355384,2.067451829840032,2.069856149427289,2.0722381227564663,2.0745979575184443
2005-03-17,2.10389229751773,2.105958136368092,2.108004786667104,2.1100324266476918,2.112041232887264
2005-03-18,2.0296601275192416,2.032233188038979,2.03478230676043,2.0373077064570975,2.039809607829623
2005-03-21,1.971256622280868,1.9742337683495408,1.9771830555232819,1.9801047444940454,1.982999093514339
2005-03-22,1.9541222376678862,1.9571570336979691,1.9601631714098513,1.9631409214310125,1.966090551833332
2005-03-23,2.0614375528733415,2.0636930778429656,2.065927486904808,2.0681409777430293,2.0703337461910998
2005-03-24,1.9566807253391927,1.959761489610902,1.9628132586370346,1.965836305312299,1.9688308999629978
2005-03-28,1.8584321311643992,1.862317261855607,1.866165618177276,1.8699775482140304,1.8737533967557285
2005-03-29,1.910801628859899,1.9141544171398277,1.9174752055829394,1.9207642996035552,1.9240220017010468
2005-03-30,1.921532553280792,1.9247883135396653,1.9280130298407931,1.9312069981910174,1.9343705117747292
2005-03-31,2.0219460020926974,2.024252748818304,2.0265372793994025,2.028799807798398,2.0310405459170355
2005-04-01,2.2196154904960603,2.220097850858917,2.220575497613567,2.2210484768212204,2.22151683409298
2005-04-04,2.1494349632321117,2.1504741857201695,2.1515031012437444,2.152521812026872,2.1535304192797353
2005-04-05,2.1314134020819457,2.1327177285890424,2.134009398345782,2.1352885341690575,2.136555257683988
2005-04-06,2.1407605852642737,2.1419835135138445,2.1431945962945824,2.1443939483434984,2.145581683286243
2005-04-07,2.041113523753397,2.043182465494586,2.045231205108714,2.0472599398589177,2.049268865082164
2005-04-08,2.1213496689775937,2.1226256286982275,2.123888838530327,2.125139425875765,2.126377516863365
2005-04-11,2.0363694972635593,2.0384434601701362,2.0404969428993884,2.0425301476910294,2.0445432747876744
2005-04-12,2.0731066767767174,2.0748018342202674,2.0764799513882695,2.078141199575131,2.0797857483533537
2005-04-13,2.300632272900468,2.3001725165630447,2.2997174485765632,2.299267021131711,2.298821186906709
2005-04-14,2.178994706367218,2.179594059322685,2.180187131915363,2.1807739899544836,2.18135469855969
2005-04-15,2.8699920948373294,2.8640586070102763,2.8581866228104604,2.8523755047214205,2.8466246218348785
